accession,name,description,Study Disease/Focus,Study Design,Study Molecular Data Type,Study Content,NIH Institute,Study Consent
phs001914.v1.p1,Improved Detection and Identification of Microsatellite Instability    Features in Colorectal Cancer,"In this study, we analyzed a series of colorectal cancers using a new sequencing technology that sequences more than 200 microsatellite regions in parallel. With this technology, we evaluated mono-,   cancer genes, with which we can infer chromosomal instability (CIN) status. Related Genes: FLG, TEP1, ABL1, ACVR1B, ACVR2A, AKT1, AKT2, APC, ARAF, ATM",Colorectal Neoplasms,Case-Control,"Targeted-Capture, WGS","4 phenotype datasets, 17 variables, 112 samples sequenced,  SRA, 48 subjects, 112 samples",NHGRI,"HMB-PUB-NPU --- Health/Medical/Biomedical (PUB, NPU)"
phs001290.v1.p1,CIDR: NCI Genome Wide Predictors of Survival in Colorectal Cancer,CIDR/Molecular Correlates: This study genotyped archived blood samples from colorectal cancer cases participating in clinical trials. The goals of this project were to identify genetic variants associated with survival outcomes  treatment and treatment-related severe adverse events among patients with colorectal cancer. Another goal was to examine the impact of adding,Colorectal Neoplasms,Clinical Trial,"SNP Genotypes (Array), SNP Genotypes (imputed)","4 phenotype datasets, 37 variables, 2 molecular datasets, 6077 subjects, 6371 samples",NCI,"GRU-PUB --- General Research Use (PUB), GRU-COL-NPU --- General Research Use (COL, NPU), GRU-COL --- General Research Use (COL)"
phs001903.v1.p1,dbGaP submission of CORECT OncoArray GWAS data,"This analysis represents the genome-wide association study results of several international case-control studies of colorectal cancer. Inclusion Criteria In general, for cases: (1) age 18 years (some studies capped age   detailed control selection criteria, but in general, controls were matched in demographic features to cases and were free of colorectal cancer at the time of",Colorectal Neoplasms,Case-Control,SNP Genotypes (Array),"4 phenotype datasets, 37 variables, 1 analyses, 1 molecular datasets, 37437 subjects, 37437 samples",NCI,"EPIMEDCA-MDS --- Epidemiological and Medical Research on Cancer and Methods, DS-CA-NPU-GSO --- Disease-Specific (Cancer, NPU, GSO), GRU-PUB --- General Research Use (PUB), DS-COC-MDS --- Disease-Specific (Colon Cancer, MDS), HMB --- Health/Medical/Biomedical, DS-CC --- Disease-Specific (Colorectal Cancer), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB-NPU --- Health/Medical/Biomedical (PUB, NPU), DS-COC-PUB-NPU --- Disease-Specific (Colon Cancer, PUB, NPU), DS-CC-PUB --- Disease-Specific (Colorectal Cancer, PUB), CHRONIC-MDS --- Chronic Diseases (including Cancer) and Methods, GRU --- General Research Use, CADM --- Cancer in all age groups, other diseases in adults only, and methods, CRCSTATS --- Colorectal Cancer and Statistical Methods, DS-CA-GSO --- Disease-Specific (Cancer, GSO), DS-CC-COL-NPU --- Disease-Specific (Colorectal Cancer, COL, NPU), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB-COL --- Health/Medical/Biomedical (IRB, COL), DS-COC-IRB-COL --- Disease-Specific (Colon Cancer, IRB, COL), DS-CA-IRB-PUB-NPU-MDS --- Disease-Specific (Cancer, IRB, PUB, NPU, MDS), DS-BCEMOPCA-NPU-MDS --- Disease-Specific (Breast, Colorectal, Endometrial, Melanoma, Ovarian, and/or Prostate Cancer, NPU, MDS), DS-CA-MDS --- Disease-Specific (Cancer, MDS)"
phs001856.v1.p1,CORECT: Affymetrix Axiom GWAS Data,"This study is part 1 of 2 for Schumacher et al, Nat Commun. 2015 Jul 7;6:7138. Part 1 is the original GWAS data for 9,259 participants on the Affymetrix Axiom   observational studies of CRC for the present analysis: 1. Molecular Epidemiology of Colorectal Cancer (Israel), 2. Colon Cancer Family Registry, 3. Kentucky case",Colorectal Neoplasms,Case-Control,SNP Genotypes (Array),"4 phenotype datasets, 13 variables, 1 analyses, 1 molecular datasets, 9924 subjects, 9924 samples",NCI,"GRU --- General Research Use, DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), DS-CC --- Disease-Specific (Colorectal Cancer), DS-COC-IRB-COL --- Disease-Specific (Colon Cancer, IRB, COL), HMB --- Health/Medical/Biomedical, HMB-IRB-COL --- Health/Medical/Biomedical (IRB, COL), DS-CA-MDS --- Disease-Specific (Cancer, MDS), DS-CA-IRB-PUB-NPU-MDS --- Disease-Specific (Cancer, IRB, PUB, NPU, MDS)"
phs000999.v3.p1,"CSER: Clinical Sequencing in Cancer: Clinical, Ethical, and Technological    Studies","The Clinical Sequencing Exploratory Research (CSER) program supports multi-disciplinary projects that bring together clinicians, bioinformaticians, and ethicists to research the challenges of utilizing genomic sequence data in the clinic in   with the introduction of a powerful research tool of whole exome sequencing plus UC practices for Colorectal Cancer and Polyposis (CRCP) in adults. In",Colorectal Neoplasms,Prospective Longitudinal Cohort,"SNP Genotypes (NGS), WXS","4 phenotype datasets, 19 variables, 2 molecular datasets, 158 samples sequenced,  SRA, 242 subjects, 242 samples",NHGRI,GRU --- General Research Use
phs001853.v1.p1,MGH Gastrointestinal Malignancies Resistance Initiative,"Tumor heterogeneity can drive the evolution of multiple tumor subclones harboring unique molecular resistance alterations in different metastatic lesions in an individual patient, under the selective pressure of therapy1-3. Studies   colorectal cancer. Nature 486, 532-536, doi:10.1038/nature11156 (2012). 3. Ahronian, L. G. et al. Clinical Acquired Resistance to RAF Inhibitor Combinations in",Colorectal Neoplasms,Prospective Longitudinal Cohort,WXS,"4 phenotype datasets, 21 variables, 44 samples sequenced, 15 subjects, 44 samples",NCI,"DS-GICA-MDS --- Disease-Specific (Gastric Cancer, MDS)"
phs001045.v1.p1,Molecular Epidemiology of Colorectal Cancer (MECC) Metastasis Study,"This study compared Ashkenazi Jewish individuals with Stage IV metastatic colon cancer to those with non-metastatic Stage I or II colon cancers. A genome-wide association study, using a 2-stage design,  identified a significant association with rs60745952. Inclusion Criteria Cases Diagnosis with a primary colorectal cancer Stage IV, Stage I, Stage II",Colorectal Neoplasms,Case Set,SNP Genotypes (Array),"4 phenotype datasets, 14 variables, 1 molecular datasets, 323 subjects, 323 samples",NCI,DS-CC --- Disease-Specific (Colorectal Cancer)
phs001499.v1.p1,CORECT: Meta-analysis,"This study is part 2 of 2 for Schumacher et al, Nat Communication. 2015 Jul 7;6:7138. Part 2 is the pooled meta-analysis of 29 different studies of 37,955 European (18,299   varying Exclusion Criteria Principal Investigator: Stephen B. Gruber, USC Norris Comprehensive Cancer Center, University of Southern California, Los Angeles",Colorectal Neoplasms,Case-Control,Not Provided,1 analyses,NCI,DS-CC --- Disease-Specific (Colorectal Cancer)
phs001415.v1.p1,Uncovering the Genetic Architecture of Colorectal Cancer with Focus of    Rare and Less Frequent Variants,The Genetics and Epidemiology of Colorectal Cancer Consortium (GECCO) is a collaborative effort comprised of a coordinating center and scientific researchers from well-characterized cohort and case-control studies conducted in North  America and Europe. This international consortium aims to accelerate the discovery of common and rare genetic risk variants for colorectal cancer by,Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (imputed)","4 phenotype datasets, 29 variables, 3 molecular datasets, 29540 subjects, 30487 samples",NCI,"GRU --- General Research Use, DS-CA-IRB --- Disease-Specific (Cancer, IRB), RCV-CRC-MDS --- Rare and common variants associated with colorectal cancer risk, and methods, CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-GSO --- Health/Medical/Biomedical (PUB, NPU, GSO), HMB-COL-GSO --- Health/Medical/Biomedical (COL, GSO), HMB --- Health/Medical/Biomedical, HMB-IRB --- Health/Medical/Biomedical (IRB), HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), HMB-PUB --- Health/Medical/Biomedical (PUB), DS-BOCA --- Disease-Specific (Bowel Cancer), GRU-GSO --- General Research Use (GSO), DS-CEC-IRB --- Disease-Specific (Colorectal and Endometrial Cancer, IRB)"
phs001193.v1.p1,Hispanic Colorectal Cancer Study,"Genome-wide association studies (GWAS) of colorectal cancer (CRC) have been instrumental in identifying a number of common susceptibility loci in Non Hispanic (NH)-White populations, and a NCI priority is to   this study because the occurrence of colorectal cancer in a child is uncommon. The participants in the study will include Latino, African-American",Colorectal Neoplasms,Case-Control,SNP Genotypes (Array),"4 phenotype datasets, 17 variables, 7 documents, 1 molecular datasets, 1597 subjects, 1597 samples",NCI,"GRU --- General Research Use, DS-CA --- Disease-Specific (Cancer), HMB-MDS --- Health/Medical/Biomedical (MDS)"
phs001078.v1.p1,"Common Variant GWAS, GECCO","Genetics & Epidemiology of Colorectal Cancer Consortium (GECCO) is a collaborative effort which aims to accelerate the discovery of colorectal cancer-related variants by discovering, replicating and fine-mapping Genome Wide Association   phs001056 DALS phs001077 WHI Colorectal Cancer phs001092 PMH CCFR phs001094 PLCO phs001104 ASTERISK phs001113 DACHS phs001114 HPFS phs001128 PHS phs001129 NHS",Colorectal Neoplasms,Case-Control,Not Provided,"2 phenotype datasets, 9 variables, 17766 subjects, 18509 samples, 12 substudies",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001171.v1.p1,Multiethnic Cohort Study (MEC),This study phs001171 MEC Colorectal Cancer contains genotype and phenotype of subjects available from the phs001171 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed   years of 1993 and 1996. Colorectal cancer cases were identified through the Hawai'i Tumor Registry and the Los Angeles County Cancer Surveillance Program,Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 722 subjects, 735 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC --- Health/Medical/Biomedical (PUB), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001170.v1.p1,Hawai'i Colorectal Cancer Studies 2&3 (Colo2&3),"This study phs001170 Colo2and3 contains genotype and phenotype of subjects available from the phs001170 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the   consortium. The Hawai'i Colorectal Cancer Studies 2 & 3 (Colo2&3) includes Japanese, Caucasian, and Native Hawaiian residents of Oahu who were diagnosed with",Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 225 subjects, 232 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001129.v1.p1,Nurses' Health Study (NHS),This study phs001129 NHS contains genotype and phenotype of subjects available from the phs001129 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the  -control sets were constructed for genotyping for this project. The first set was comprised of cases of colorectal cancer matched to randomly selected,Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 2606 subjects, 2660 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001128.v1.p1,Physicians' Health Study (PHS),This study phs001128 PHS contains genotype and phenotype of subjects available from the phs001128 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the   follow up questionnaires. Blood samples were collected during the first two years of the trial before randomization. Colorectal cancer cases were collected,Colorectal Neoplasms,Prospective Longitudinal Cohort,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 806 subjects, 817 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
phs001114.v1.p1,Health Professionals Follow-up Study (HPFS),This study phs001114 HPFS contains genotype and phenotype of subjects available from the phs001114 study. Summary level phenotypes for the NCI GECCO Consortium study participants can be viewed at the   genotyping for this project. The first set was comprised of cases of colorectal cancer matched to randomly selected controls who provided a blood sample and,Colorectal Neoplasms,Case-Control,"SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 11 variables, 1 molecular datasets, 1497 subjects, 1539 samples",NCI,"GRU --- General Research Use, HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), CADM --- Cancer in all age groups, other diseases in adults only, and methods, HMB-PUB-NPU-MDS-GSO --- Health/Medical/Biomedical (PUB, NPU, MDS, GSO), DS-CC-NPU-GSO --- Disease-Specific (Colorectal Cancer, NPU, GSO), DS-CC-MDS --- Disease-Specific (Colorectal Cancer, MDS), HMB-IRB --- Health/Medical/Biomedical (IRB), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB)"
