accession,name,description,Study Disease/Focus,Study Design,Study Molecular Data Type,Study Content,NIH Institute,Study Consent
phs001632.v1.p1,African American Multiple Myeloma GWAS,"The case set is from a case-control study designed to identify common genetic risk factors for multiple myeloma in African Americans, the population with the highest risk for this cancer.   existing GWAS data. We then conducted a meta-analysis of the two sets. Cases were persons of African ancestry with smoldering or active multiple myeloma",Multiple Myeloma,Case Set,SNP Genotypes (Array),"4 phenotype datasets, 14 variables, 1 molecular datasets, 1408 subjects, 1408 samples",NCI,"GRU --- General Research Use, DS-CA --- Disease-Specific (Cancer), GRU-NPU --- General Research Use (NPU), GRU-PUB-NPU --- General Research Use (PUB, NPU), DS-CA-PUB --- Disease-Specific (Cancer, PUB), HMB-PUB --- Health/Medical/Biomedical (PUB), HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), DS-MM-MDS --- Disease-Specific (Multiple Myeloma, MDS), DS-CA-IRB-GSO --- Disease-Specific (Cancer, IRB, GSO)"
phs000748.v7.p4,Multiple Myeloma CoMMpass Study,"The Multiple Myeloma Research Foundation (MMRF) CoMMpass (Relating Clinical Outcomes in MM to Personal Assessment of Genetic Profile) trial (NCT01454297) is a longitudinal observation study of 1000 newly diagnosed myeloma   first-line treatment of multiple myeloma. Patients may be enrolled in subsequent clinical trials as long as continued access to data and tissue, as per",Multiple Myeloma,Prospective Longitudinal Cohort,"RNA-Seq, WGS, WXS","4 phenotype datasets, 29 variables, 5118 samples sequenced,  SRA, 1014 subjects, 5118 samples",NCI,"GRU-MDS --- General Research Use (MDS), DS-MCRD-MDS --- Disease-Specific (Myeloma and other cancer-related disorders, MDS)"
phs000545.v1.p1,Predicting Chemotherapy-Induced Mucositis with Genetic and Clinical    Factors,"We hypothesized that genetic variability in the enzymes/proteins involved in drug metabolism, inflammation, and immune function is a major underlying contributor to mucositis incidence and progression and that, based on   (MEL) followed by autologous hematopoietic stem cell (ASCT) transplantation as treatment for multiple myeloma and for whom banked blood stem cell samples",Multiple Myeloma,Case-Control,SNP Genotypes (Array),"4 phenotype datasets, 37 variables, 1 molecular datasets, 764 subjects, 764 samples",NINR,DS-CIM --- Disease-Specific (Chemotherapy Induced Mucositis)
phs000348.v2.p1,Towards a Genomic Understanding of Myeloma,This project was designed to describe genetic abnormalities in primary samples from patients with multiple myeloma by next generation sequencing. We generated sequence data from multiple myeloma (MM) patients analyzing   genetic landscape of multiple myeloma and provide a resource for the generation of biological hypotheses. The sequencing data deposited are the results of,Multiple Myeloma,Tumor vs. Matched-Normal,"SNV Aggregate (.MAF), WGS, WXS","4 phenotype datasets, 32 variables, 2 molecular datasets, 408 samples sequenced,  SRA, 204 subjects, 409 samples",NCI,"GRU-MDS --- General Research Use (MDS), DS-CCRD-MDS --- Disease-Specific (Cancer and Cancer-Related Disorders, MDS)"
phs002476.v3.p1,Immune Profiling in Patients with High-Risk Smoldering Myeloma,"Single-cell RNA-sequencing identifies immune biomarkers of response to immunotherapy in patients with high-risk Smoldering Multiple Myeloma (SMM). We conducted a Phase II trial of the immunotherapeutic anti-SLAMF7 antibody, Elotuzumab, in   and dbGaP accession phs001323. Inclusion Criteria: Age &#x02265; 18 years Must have Smoldering Multiple Myeloma (SMM) with high-risk markers based on",Smoldering Multiple Myeloma,Clinical Trial,"OTHER, RNA-Seq, Custom targeted DNA/RNA sequencing, RNA Seq (NGS)","4 phenotype datasets, 22 variables, 2 molecular datasets, 240 samples sequenced, 55 subjects, 240 samples",NCI,HMB --- Health/Medical/Biomedical
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
